marshall space flight center :368
more than one half :4
more than half a :4
more than four years :4
more than double that :4
more than 50 million :4
more than 40 of :4
more than 2000 hrs :4
more than 100 million :4
more than 10 times :4
more than 10 000 :4
more aware of the :4
moon had been formed :4
moon by luna 17 :4
moon by apollo astronauts :4
moon by apollo 11 :4
moon and return to :4
moon and return him :4
moon and nearmoon space :4
monographs data compilations handbooks :4
monitoring the arabisraeli war :4
monitor space for violations :4
monitor micrometeoroids and radiation :4
modrome into orbit with :4
model of the space :4
mobility research and development :4
mittee on aeronautical and :4
missions to mars and :4
missions as well as :4
mission was announced by :4
mission to the moon :4
mission to man the :4
mission pilot performed maneuvers :4
mission control in houston :4
missiles space co solar :4
missiles space co for :4
missiles and rockets that :4
missile systems organization awarded :4
missile at white sands :4
missile and space programs :4
mis sions would be :4
minuteman icbm launched from :4
ministry of scientific research :4
ministrator for manned space :4
minister of technology anthony :4
min later than planned :4
min after launch the :4
milton lomask vanguarda history :4
milton lomask vanguard a :4
millions of years ago :4
million mi of earth :4
million mi from mars :4
million km from the :4
million in fy 1974 :4
million had already been :4
million for the project :4
million for earth resources :4
million for con struction :4
million for aeronautical research :4
million cut by the :4
million below the fy :4
miller chairman of the :4
military assistance for safety :4
military and civilian space :4
miles per hour on :4
might have been caused :4
might be possible to :4
might be called the :4
microwave scanningbeam landing system :4
micrometeoroids and radiation intensity :4
michigan experiment to study :4
mi south of hawaii :4
mi period 896 min :4
mi period 895 min :4
mi period 893 min :4
mi period 11 hrs :4
mi perigee 210 km :4
mi perigee 204 km :4
mi of the planet :4
mi of the moon :4
mi in diameter and :4
mi from the sun :4
mi from the planet :4
mi from recovery ship :4
mi downrange in atlantic :4
mg jewel1 c maxwell :4
meteorological sounding rocket launched :4
meteorological satellite scheduled for :4
met at marshall space :4
message to congress president :4
mercury spacecraft friendship 7 :4
ment was functioning normally :4
men of all nations :4
men and women in :4
memorandum of understanding with :4
memorandum of understanding on :4
member of soviet academy :4
melvin r laird and :4
meeting of the usussr :4
meeting of national academy :4
meeting of american physical :4
meeting in washington that :4
meeting in san francisco :4
medical research and opera :4
measure was referred to :4
measure electron density and :4
measure air density and :4
mcdivitt maj usaf and :4
mattingly 11 and charles :4
mate spacecraft to launch :4
massa chusetts institute of :4
martin marietta corp to :4
martin co had been :4
mars and the moon :4
marks dates that are :4
mariners 6 and 7 :4
mariner 9 photos of :4
mariner 9 launched by :4
mariner 6 and 7 :4
mariner 10 launched 3 :4
margaret chase smith rme :4
march 7 1962 and :4
march 1972 toward a :4
manâ€™s knowledge of the :4
many years to come :4
manpower in the united :4
manned spacecraft center to :4
manned spacecraft center that :4
manned spacecraft center press :4
manned space flights2 suborbital :4
manned space flight with :4
manned space flight tracking :4
manned space flight told :4
manned space flight since :4
manned space flight projects :4
manned space flight net :4
manned space flight missions :4
manned space flight effort :4
manned space flight d :4
manned space flight by :4
manned space flight announced :4
manned orbiting labora tory :4
manned orbital space station :4
manned orbital research and :4
manned operations in space :4
manned lunar roving vehicle :4
manned lunar land ing :4
manned flight in the :4
manned apollo mission apollo :4
manned and unmanned missions :4
manager of apollo spacecraft :4
manager kenneth s kleinknecht :4
management as well as :4
managed by langley research :4
man could live and :4
making it possible to :4
make the united states :4
major step forward in :4
major milestone in the :4
major elements of the :4
maj usaf and james :4
maj usaf and edward :4
maj robert white usaf :4
maj peter c hoag :4
maj l gordon cooper :4
made to classify performance :4
made the first of :4
made no official statement :4
made it clear that :4
made by nasa and :4
made available to all :4
mac c adams nasa :4
m schirra capt usn :4
m s i e :4
m rees msfc director :4
m emme ed history :4
m dickson library of :4
m a r s :4
m 50 000 ft :4
lunar surface experiment package :4
lunar receiving laboratory in :4
lunar landings with a :4
lunar landing would be :4
lunar landing research facility :4
lunar landing program and :4
lunar landing july 20 :4
lunar and planetary probes :4
lrc release 6 4 :4
loyd s swenson james :4
low earth orbit in :4
lovell jr fred w :4
loss of muscle tone :4
lops station carried gsfc :4
longest manned space flight :4
long periods in space :4
lomask vanguarda history nasa :4
local time each day :4
local scientific survey module :4
lm was on moon :4
living and working in :4
little joe i1 launch :4
lists payloads that have :4
listed only those that :4
lifting body vehicle was :4
lifted off lunar surface :4
life support systems for :4
life sciences for medical :4
life on other planets :4
library of congress history :4
lewis research center reported :4
lewis research center engineers :4
lewis re search center :4
letter to president johnson :4
less than in fy :4
less than 1 million :4
lerc announced award of :4
leonard c bruno with :4
left on moon and :4
leave of absence from :4
launchings of all rocket :4
launches had been conducted :4
launches are published annually :4
launched unidentified satellite payload :4
launched unidentified satellite by :4
launched unidentified reconnaissance satellite :4
launched thoragena d space :4
launched oct 15 1972 :4
launched nov 9 1967 :4
launched nikecajun sounding rocket :4
launched may 14 would :4
launched july 28 to :4
launched jan 22 1968 :4
launched into outer space :4
launched into geostationary orbit :4
launched in 1972 and :4
launched from woomera rocket :4
launched from wallops is :4
launched from the eastern :4
launched from palestine tex :4
launched from nasa wal :4
launched from kiruna sweden :4
launched from kapustin yar :4
launched from etr with :4
launched from etr successfully :4
launched from etr nov :4
launched from churchill re :4
launched from baykonur at :4
launched from b52 aircraft :4
launched for nasa by :4
launched dec 11 1970 :4
launched by the soviet :4
launched by saturn v :4
launched by nasa on :4
launched by nasa into :4
launched by nasa april :4
launched aug 21 1972 :4
launched as part of :4
launched an arcas sounding :4
launched an aerobee 200 :4
launched an aerobee 170 :4
launched a javelin sounding :4
launched 30 may 1974 :4
launched 15 dec 1973 :4
launch was planned for :4
launch vehicles would be :4
launch vehicles and spacecraft :4
launch of the first :4
launch of apollo 17 :4
launch had been rescheduled :4
launch had been delayed :4
launch from vandenberg afb :4
launch facilities and operations :4
launch escape system les :4
launch date would be :4
launch complex 39 at :4
launch complex 39 and :4
launch by sac crew :4
launch a series of :4
later than planned because :4
late nasa deputy administrator :4
late dr hugh l :4
late 1971 or early :4
late 1970s and early :4
largest collection of aerospace :4
large space telescope and :4
large amounts of power :4
lannan said in washington :4
langley research center the :4
langley research center in :4
langley research center for :4
langley research center director :4
langley research center as :4
landings with a total :4
