total weight :2627
fbis beijing :4
favorable conditions :4
fault lines :4
fatal accident :4
farouk elbaz :4
farm near :4
falmouth mass :4
falls sd :4
falls ny :4
fallen behind :4
fallen astronaut :4
fall rats :4
fall behind :4
fall 1967 :4
fairy castle :4
fai gold :4
factor systems :4
factor biomedicine :4
facsimile communications :4
facilities required :4
facilities performance :4
facilities nasa :4
facilities experimental :4
facilities construction :4
fabrication delivery :4
fabricate install :4
faa spokesman :4
f20 tigershark :4
f14 jet :4
f111a aircraft :4
f104g starfighter :4
f wsmc :4
f mason :4
f lederer :4
f bykovsky :4
exxon corp :4
extremely powerful :4
extremely complex :4
extreme temperature :4
extreme cold :4
extraterrestrial space :4
extragalactic objects :4
external forces :4
extensive tests :4
extensive study :4
extensive postlaunch :4
extensive index :4
extensive ground :4
extensive damage :4
extended solar :4
extended manned :4
extend studies :4
explosive devices :4
explosive charge :4
explorer xxi :4
explorer xvm :4
explorer ae :4
explore outer :4
explore lunar :4
exploratory development :4
exploration technology :4
exploration sites :4
exploration office :4
exploration missions :4
exploration division :4
exploit space :4
exploding stars :4
exploding grenade :4
experiments requiring :4
experiments particularly :4
experiments pallet :4
experiments onboard :4
experiments left :4
experimenters concerned :4
experimental transport :4
experimental techniques :4
experimental supersonic :4
experimental stol :4
experimental solar :4
experimental quiet :4
experimental platform :4
experimental operations :4
experimental jet :4
experiment teams :4
experiment spacecraft :4
experiment series :4
experiment performed :4
experiment operators :4
experiment operations :4
experiment modules :4
experiment magnetosphere :4
experiment hardware :4
experiment developed :4
experiment carried :4
experiment booms :4
experi mental :4
expensive spacecraft :4
existing usaf :4
existing systems :4
existing space :4
existing rockets :4
existing hardware :4
existing ground :4
existing aircraft :4
exhaust temperature :4
exhaust products :4
exhaust nozzles :4
exhaust emissions :4
executive staff :4
executive committee :4
excluding payload :4
exchanged information :4
exchange visits :4
exchange commission :4
eventually lead :4
eve star :4
evans left :4
evaluation indicated :4
evaluation device :4
evaluate surface :4
evaluate augmented :4
eustis va :4
europeenne de :4
european union :4
european spacecraft :4
european scientific :4
european satellite :4
european firms :4
european comsat :4
european allies :4
europe via :4
europe africa :4
eugene zuckert :4
eugene g :4
eugene c :4
ethan allen :4
et denvironment :4
estimated 500 :4
estimated 15 :4
established nasa :4
establish permanent :4
establish office :4
est ship :4
est march :4
essas space :4
essa satellites :4
esro scientific :4
esro ii—b :4
esro announced :4
espaciais cnae :4
escaped injury :4
escape missions :4
escape earths :4
esas space :4
esa programs :4
esa experiments :4
erts data :4
erep project :4
era nasa :4
equivalence principle :4
equipment support :4
equipment processing :4
equipment performed :4
equipment materials :4
equipment div :4
equipment corp :4
equipment continued :4
equip ment :4
equatorial electrojet :4
equally spaced :4
epndb effective :4
eos trans :4
environmental measurements :4
environment effects :4
entry prime :4
entire station :4
entered initial :4
entered highly :4
entered asteroid :4
enter service :4
enter lunar :4
ensure maximum :4
english apr :4
engines developing :4
engines burned :4
engines attitude :4
engineers sae :4
engineers meeting :4
engineers january :4
engineering science :4
engineering evaluation :4
engineering effort :4
engineering dr :4
engineering board :4
engineering achievement :4
engineer dr :4
engine successfully :4
engine ssme :4
engine parts :4
engine nozzles :4
engine nasa :4
engine modifications :4
engine ignited :4
engine emissions :4
engine designs :4
engine controller :4
engine component :4
engine chamber :4
engi neers :4
energy technology :4
energy shortages :4
energy savings :4
energy released :4
energy reflected :4
energy needed :4
energy emitted :4
energy coming :4
energy available :4
energy astronomical :4
energetic proton :4
energetic electrons :4
enemy satellites :4
enemy attack :4
endurance test :4
ending june :4
ended july :4
enable satellite :4
en gineering :4
emission levels :4
emission characteristics :4
emil sturmthal :4
emergency situations :4
emergency loan :4
emergency evacuation :4
emergency detection :4
emergency communications :4
ellison onizuka :4
elliptical galaxies :4
elliptic orbit :4
elliot l :4
elements including :4
electronics laboratory :4
electronic subsystems :4
electronic signal :4
electronic research :4
electronic instruments :4
electronic controls :4
electronic computer :4
electronic circuits :4
electronic circuitry :4
electron temperatures :4
electron radiation :4
electron microscopy :4
electron fluxes :4
electromagnetic levitator :4
electricity generated :4
electrically scanning :4
electrical discharge :4
electrical conductivity :4
electrical characteristics :4
electric utility :4
electric space :4
electric motors :4
electric ion :4
electric engine :4
electric company :4
electric boat :4
electric arc :4
elec tric :4
eldo europa :4
el toro :4
ejection seat :4
either country :4
eisenhower president :4
eisaku sato :4
einar enevoldson :4
eight onboard :4
eight flights :4
eight engines :4
eight damaged :4
effort including :4
efficient operation :4
effects visavis :4
effective october :4
effect ships :4
edward z :4
edward v :4
edward r :4
edward pendray :4
edward f :4
edward clifton :4
education council :4
education association :4
edt feb :4
edt august :4
edp technology :4
edmond c :4
editor jess :4
ed bibliography :4
ed 1982 :4
economical methods :4
economic political :4
economic opportunity :4
economic needs :4
economic committee :4
economic club :4
economic benefit :4
economic assistance :4
economic aspects :4
economic analysis :4
ecological systems :4
east africa :4
earthtoorbit transportation :4
earthsun relationships :4
earths outer :4
earths orbital :4
earths oceans :4
earths nearest :4
earthoriented satellite :4
earthorbiting spacecraft :4
earth voyager :4
earth thordelta :4
earth tass :4
earth taken :4
earth survey :4
earth surface :4
earth scientists :4
earth science :4
earth safely :4
earth radiation :4
earth observatory :4
earth moon :4
earth july :4
earth conditions :4
earth 48 :4
earth 14 :4
earlywarning satellites :4
earlywarning satellite :4
earliest days :4
earlier versions :4
earlier soviet :4
earlier reports :4
earlier missions :4
earlier measurements :4
earlier contract :4
eaker usaf :4
e z :4
e yeager :4
e webbs :4
e usaf :4
e thomas :4
e t :4
e stages :4
e launch :4
e jr :4
e goodell :4
e g :4
e davies :4
e beyond :4
e bell :4
dynamics astronautics :4
dynamic simulator :4
dynamic pressures :4
dwis chairman :4
duration missions :4
due july :4
due jan :4
due dec :4
dudley g :4
dubridge science :4
dublin ireland :4
duane 0 :4
dryden facility :4
dryden 19461981 :4
dry land :4
drug abuse :4
drive motor :4
drilling rigs :4
drawing boards :4
drawing board :4
drastic changes :4
draper dr :4
dramatic demonstration :4
drag reduction :4
drag effects :4
draft convention :4
dr yoji :4
dr yin :4
dr wubbo :4
dr walton :4
dr wagner :4
dr viktor :4
dr verl :4
dr sidney :4
dr shoemaker :4
dr shea :4
dr seymour :4
dr schlesinger :4
dr sandage :4
dr roy :4
dr riccardo :4
dr nikolai :4
dr morris :4
dr menzel :4
dr max :4
dr mark :4
dr malcolm :4
dr lundin :4
dr ludwig :4
dr lubos :4
dr leighton :4
dr keith :4
dr k :4
dr johndavid :4
dr johannes :4
dr jocelyn :4
dr jesse :4
dr jacques :4
dr irwin :4
dr greenstein :4
dr goldstein :4
dr fraser :4
dr franklin :4
dr dudley :4
dr dubridge :4
dr dixy :4
dr dicke :4
dr dianne :4
dr detlev :4
dr daniel :4
dr carter :4
dr bonnie :4
dr berkner :4
dr bartholomew :4
dr barry :4
dr adey :4
douglas dc9 :4
douglas dc8 :4
douglas corps :4
double delta :4
dot announced :4
doppler velocity :4
doppler tracking :4
doppler effect :4
donald deke :4
don spacecraft :4
domestic satellites :4
domestic airlines :4
dollars worth :4
dollars spent :4
dollar volume :4
doesnt mean :4
doe release :4
dods vela :4
dod reported :4
dod releases :4
dod plans :4
dod pio :4
dod payload :4
dod missions :4
dod director :4
dod development :4
dod approved :4
dod advanced :4
dod accounted :4
documents government :4
documents 175 :4
documents 100 :4
docking units :4
docking targets :4
docking ports :4
docking experiment :4
docked flight :4
docked configuration :4
dmsp spacecraft :4
dmiss chairman :4
dixon nasa :4
division director :4
division asd :4
div dod :4
diurnal variation :4
distress signals :4
distant points :4
distant object :4
distance traversed :4
disseminating information :4
dispenser frame :4
discussions included :4
discussing space :4
discussed technology :4
discussed space :4
discrete sources :4
discoverys cargo :4
discoverer series :4
disclosed plans :4
discarded excess :4
disassembly facility :4
director walter :4
director told :4
director sir :4
director schneider :4
director office :4
director emeritus :4
director effective :4
direct sunlight :4
direct research :4
direct evidence :4
direct effect :4
direct communication :4
direct broadcasting :4
direct benefits :4
direc tor :4
dioxide gas :4
dioxide atmosphere :4
diesel fuel :4
died jan :4
dickson katherine :4
diameter weighing :4
diameter weighed :4
dia conical :4
devote full :4
device based :4
developmental flight :4
development support :4
development space :4
development secretary :4
development responsibility :4
development models :4
development including :4
development expenditures :4
development div :4
development directorate :4
development contracts :4
development command :4
development budget :4
development activity :4
development act :4
developing technology :4
developing techniques :4
develop supersonic :4
develop concepts :4
devel oped :4
determined nasa :4
determine lateraldirectional :4
determine electron :4
deter aggression :4
detectors solar :4
detection systems :4
detection sensors :4
detection equipment :4
detailed plans :4
detailed data :4
detailed analyses :4
destroyed shortly :4
destination moon :4
despite launch :4
designing future :4
designed specifically :4
design verification :4
design reviews :4
design proposals :4
design limits :4
design lifetimes :4
design improvements :4
design aircraft :4
design activities :4
description similar :4
described nasa :4
described apollo :4
descent vehicle :4
descent stages :4
descent spacecraft :4
descent rate :4
dept spokesman :4
dept ceremony :4
depressurized lm :4
deployed successfully :4
deployed experiments :4
department announced :4
denvironment technique :4
denver division :4
density variations :4
density using :4
density data :4
density collision :4
densities pressures :4
denniston wash :4
den berg :4
demonstrator engine :4
demonstration projects :4
demonstrated operation :4
demonstrated capability :4
demonstrated ability :4
demonstrate techniques :4
demarquis d :4
delta rockets :4
delta launches :4
delta 3914 :4
delegation headed :4
delays caused :4
delay meant :4
delay apollo :4
delamar lake :4
del valle :4
degrees below :4
definitive contract :4
definitive agreements :4
definite plans :4
defensespace daily :4
defense rd :4
defense production :4
defense procurement :4
defense ground :4
defense contractor :4
defence systems :4
deepspace probe :4
deeper understanding :4
decreasing solar :4
declared operational :4
decision announced :4
december launch :4
december 2127 :4
december 1985 :4
december 1978 :4
dec dec :4
dec 977 :4
dec 678 :4
dec 418 :4
dec 2377 :4
dec 2184 :4
dec 2085 :4
dec 1984 :4
dec 1980 :4
dec 1968 :4
dec 1384 :4
death valley :4
de propulsion :4
de florez :4
de fense :4
de facto :4
dd mar :4
dc news :4
dc luncheon :4
daytona beach :4
days according :4
days 16 :4
davismonthan afb :4
david sarnoff :4
david f :4
david d :4
date launched :4
date intl :4
datarelay satellites :4
data via :4
data tape :4
data source :4
data sheets :4
data service :4
data scientists :4
data rates :4
data processor :4
data lost :4
data jan :4
data included :4
data concerning :4
data combined :4
data capsule :4
data aug :4
data apr :4
data according :4
darmstadt west :4
darmstadt germany :4
dark spots :4
daniel guggenheim :4
dale gardner :4
daily lives :4
daily basis :4
daily 72765 :4
d x :4
d usaf :4
d thomas :4
d taylor :4
d scientific :4
d s :4
d perkins :4
d mcelroy :4
d lowman :4
d jan :4
d jaffe :4
d hilbum :4
d hall :4
d etb :4
d davis :4
d d :4
d benson :4
d astronautics :4
d 163 :4
c—5a galaxy :4
c—5 galaxy :4
cylinder total :4
cylinder plus :4
cylinder 4m :4
cylinder 34m :4
cutlerhammer inc :4
cury flight :4
curtis michel :4
currently informed :4
currently available :4
current turbofan :4
current systems :4
current levels :4
current costs :4
current cost :4
current contract :4
current commercial :4
cumulus clouds :4
culver city :4
cultural exchange :4
culbertson associate :4
cubic inch :4
csm rendezvoused :4
csm reaction :4
crystalline rock :4
cryogenically cooled :4
cryogenic engine :4
crossing auroral :4
cross picket :4
